# Prim/Sec, RegionCode, ShortCode, Primary Name, Secondary Name, ...
#
# edge cases and exceptions:
#
# Rainy River - the airport has no IATA or ICAO code, so use Canadian code
# Busingen - too small to have any airport of any kind, so use BUSI
# Palestine - use closed/abandoned airports
# Ulan Batur - use an airport still under construction


P,,,America/Detroit
P,,,America/Menominee
P,,,America/Belem
P,,,America/Montevideo
P,,,America/Caracas
S,,Africa/Addis_Ababa,Africa/Nairobi
S,,Africa/Asmara,Africa/Nairobi
S,,Africa/Kampala,Africa/Nairobi
S,,Indian/Mayotte,Africa/Nairobi
S,,Africa/Harare,Africa/Maputo
S,,Africa/Lusaka,Africa/Maputo
S,,Africa/Asmera,Africa/Nairobi
S,,Africa/Timbuktu,Africa/Abidjan
S,,America/Atka,America/Adak
S,,America/Fort_Wayne,America/Indiana/Indianapolis
S,,America/Indianapolis,America/Indiana/Indianapolis
S,,America/Knox_IN,America/Indiana/Knox
S,,America/Louisville,America/Kentucky/Louisville
S,,America/Porto_Acre,America/Rio_Branco
S,,America/Shiprock,America/Denver
S,,America/Virgin
S,,Asia/Chongqing,Asia/Shanghai
S,,Asia/Chungking,Asia/Shanghai
S,,Asia/Harbin,Asia/Shanghai
S,,Asia/Kashgar,Asia/Urumqi
S,,Asia/Saigon,Asia/Ho_Chi_Minh
S,,Brazil/Acre,America/Rio_Branco
S,,Brazil/DeNoronha,America/Noronha
S,,Brazil/East,America/Sao_Paulo
S,,Brazil/West,America/Manaus
S,,Egypt,Africa/Cairo
S,,Etc/UCT,Etc/UTC
S,,GMT+0,Etc/GMT
S,,GMT-0,Etc/GMT
S,,GMT0,Etc/GMT
S,,Greenwich,Etc/GMT
S,,Navajo,America/Denver
S,,PRC,Asia/Shanghai
S,,Pacific/Johnston,Pacific/Honolulu
S,,UCT,Etc/UTC
S,,US/Alaska,America/Anchorage
S,,US/Aleutian,America/Adak
S,,US/Arizona,America/Phoenix
S,,US/Central,America/Chicago
S,,US/East-Indiana,America/Indiana/Indianapolis
S,,US/Eastern,America/New_York
S,,US/Hawaii,Pacific/Honolulu
S,,US/Indiana-Starke,America/Indiana/Knox
S,,US/Michigan,America/Detroit
S,,US/Mountain,America/Denver
S,,US/Pacific,America/Los_Angeles
S,,UTC,Etc/UTC
S,,Universal,Etc/UTC
S,,Zulu,Etc/UTC
S,,Africa/Asmera,Africa/Asmara
S,,Asia/Chungking,Asia/Chongqing
S,,GMT,Etc/GMT
S,,Etc/Universal,Etc/UTC
S,,Etc/Zulu,Etc/UTC
S,,Etc/Greenwich,Etc/GMT
S,,Etc/GMT-0,Etc/GMT
S,,Etc/GMT+0,Etc/GMT
S,,Etc/GMT0,Etc/GMT
S,,Europe/Belfast,Europe/London
S,,GB-Eire,Europe/London
S,,US/Pacific-New,America/Los_Angeles
S,,America/St_Thomas
S,,America/St_Vincent
S,,America/Tortola
